,nama_produk,harga_produk,penjual,kota_toko,rating_produk,banyaknya_terjual
0,Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,95000.0,kylafood,Bandung,4.9,250
1, Kylafood Seblak karuhun,12150.0,Lakoca Official Shop,Cimahi,4.9,500
2,Kylafood Seblak Rempah Autentik isi (5pcs),61275.0,Rav Jaya Display,Kab. Tangerang,4.9,250
3,Kylafood Seblak Original Play,20250.0,Snackzone PP,Jakarta Pusat,4.9,750
4,Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah,64906.0,CUANKI CULAMETAN,Kab. Garut,4.7,100
5,SEBLAK INSTAN MOMMY,13900.0,kylafood,Bandung,4.9,40
6,Kerupuk Seblak Pedas Mini,18000.0,the Dhecip,Tangerang Selatan,4.7,50
7,cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,12500.0,Baso Aci Ayang,Kab. Garut,4.9,19
8,Kylafood Seblak Rempah Authentik,8888.0,Pedas Gilaa,Surabaya,4.9,100
9,Seblak Instan Pedas Home Made,3500.0,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,5.0,15
10,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Lidigeli,Kab. Garut,4.8,100
11,Seblak Instant Homemade Lengkap Bumbu,5500.0,Sultan Meat Shop,Medan,4.8,40
12,SEBLAK INSTANT TERMURAH,4450.0,CUANKI CULAMETAN,Kab. Garut,4.8,25
13,Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Combo 4pcs 65 gr,50000.0,dapur_alulapademangan,Jakarta Utara,5.0,30
14,Seblak Sultan instant,14000.0,food Service Ingredients,Jakarta Timur,5.0,40
15,siomay mini kering 1kg toping seblak baso aci,25999.0,Mama Fuji Official,Tangerang,4.9,60
16,Halal - Seblak Mie Kuah - SIAP MAKAN - Pedas Banget,14000.0,anugrah seblak,Kab. Bandung,5.0,1
17,Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 1kg,35000.0,Grosir Besar Kalimantan,Banjarbaru,5.0,100
18,Mamafuji - PROMO BUNDLING !!! SEBLAK & BAKSO ACI,41999.0,Semangkok Boci,Kab. Klaten,5.0,100
19,"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",25000.0,Pedas Gilaa,Surabaya,4.7,2
20,BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,51771.0,baso aci zahra,Kab. Bandung,4.8,250
21,12 Bungkus Mix Baso Aci isi 6 pcs X Seblak Instan isi 6 pcs,42999.0,Uai Food,Surabaya,5.0,50
22,Cuanki Lidah Topping Baso Aci Seblak Isi 50 Biji,13000.0,Berkah Food Bandung,Cimahi,4.8,23
23,(HARGA TERMURAH) seblak instan mantap,3900.0,Pedas Gilaa,Surabaya,4.6,6
24,SEBLAK INSTAN NGABRET BANDUNG - SURABAYA SEBLAK INSTAN KOMPLIT,5048.0,nayismail,Cimahi,4.9,30
25,Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,7138.0,Seblak Nyemex,Bandung,5.0,80
26,Kerupuk Mentah 250gr Seblak Mentah,4500.0,Cempaka Cemilan,Jakarta Pusat,4.8,4
27,paket mix 12PCS boci cuanki seblak,38999.0,grosir sembako Aln2,Kab. Bandung Barat,5.0,90
28,Seblak Nyemex ORIGINAL Seblak Instant,16999.0,food Service Ingredients,Jakarta Timur,4.9,24
29,Kerupuk Seblak Cekelin Cemilan Keluarga Indonesia - Asin daun jeruk,8000.0,DUO BOCIL SNACK,Depok,4.9,100
30,kerupuk seblak rafael aln2 kemasan 100 gr - original,12000.0,NomeL Shop,Surabaya,5.0,90
31,Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 250gr,11750.0,baso aci masabi,Jakarta Selatan,4.9,100
32,Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,16000.0,Pedas Gilaa,Surabaya,4.8,3
33,BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,5400.0,BUGAR STORE.,Kab. Garut,4.9,6
34,"baso aci, bakso aci, cuanki, seblak instan, boci",8000.0,Beauty DELUXE,Jakarta Barat,5.0,1000
35,Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,30000.0,Pedas Gilaa,Surabaya,4.0,5
36,seblak mercon pedas galak,3500.0,gaiagarut,Kab. Garut,5.0,2
37,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,44500.0,Kenal Jaya Bandung,Bandung,4.9,2
38,GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,29000.0,hikmah berkah jaya,Jakarta Barat,4.4,60
39,"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",42500.0,Distributor Cuanki dan Seblak,Kab. Bekasi,5.0,60
40,Agen Seblak Mommy,9999.0,food Service Ingredients,Jakarta Timur,4.8,40
41,seblak instant sajodo snak,18999.0,Foodstocks,Jakarta Selatan,4.9,250
42,Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,14000.0,Lakoca Official Shop,Cimahi,4.9,10000
43,Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 5kg,170000.0,Gerai Snack Official Shop,Kab. Tangerang,4.9,100
44,Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,19110.0,Culametan Food,Kab. Garut,4.9,250
45,Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,93840.0,SuperSnacksShop,Kab. Bandung,4.4,100
46,Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr),19700.0,Lidigeli,Kab. Garut,4.8,250
47,cuanki lidah isi 50 topping baso aci dan seblak,11999.0,Lidigeli,Kab. Garut,4.7,70
48,KERUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH / KRUPUK BWG 200gr,5750.0,Kickball Official,Bandung,5.0,100
49,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,25000.0,lisdhacollection,Kab. Garut,5.0,250
50,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,19000.0,oyun kriukzz,Jakarta Barat,4.9,16
51,bumbu seblak basah instan,26666.0,GK_Snack,Kab. Bandung,4.7,12
52,Seblak Komplit⠀⠀,5400.0,AUFARO SNACK,Kab. Bandung Barat,4.9,5
53,Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,30000.0,Lidigeli,Kab. Garut,5.0,90
54,KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000.0,Medina Snack Grosir,Kab. Sukabumi,4.7,9
55,seblak instant komplit bumbu cikruh bandung aufaro snack,6800.0,Sajodo Snack & Food,Tasikmalaya,4.9,250
56,Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,65000.0,kylafood,Bandung,4.8,9
57,Seblak Ceker Cap Dua Putra,8000.0,Central Seblak Nusantara,Tangerang Selatan,5.0,40
58,3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,62500.0,Cemilan-Ce,Kab. Sidoarjo,5.0,250
59,Kylafood Seblak Original,21375.0,kerudung bunga,Cimahi,5.0,26
